No,Nama Barang,Harga Pasaran (Rp),Harga Jual (Rp),Selisih (Rp),Persentase Markup (%),Kategori Markup
1,Robot Vacuum Cleaner Roomba j7+,8219341,9554184,1334843,16.2,Normal
2,MacBook Pro M3 14 inch,30516442,35968643,5452201,17.9,Normal
3,Jam Tangan Casio G-Shock GA700,1148038,1270937,122899,10.7,Normal
4,Buku Thinking Fast and Slow,108154,130295,22141,20.5,Normal
5,Artisan Garam Himalaya 500g,58175,641976,583801,1003.5,MARKUP GILA-GILAAN ⚠️
6,Mesin Espresso De'Longhi La Specialista,12282967,14695495,2412528,19.6,Normal
7,Parfum Dior Sauvage 100ml,2879219,3285475,406256,14.1,Normal
8,Laptop ASUS ROG Zephyrus G14,24061975,26723297,2661322,11.1,Normal
9,Sony WH-1000XM5 Headphone,4485566,4782298,296732,6.6,Normal
10,Sepatu Formal Clarks Desert Boot,1873317,2209618,336301,18.0,Normal
11,Kamus Bahasa Inggris Oxford Advanced,249551,262291,12740,5.1,Normal
12,Jaket North Face Nuptse,4291838,5170195,878357,20.5,Normal
13,Sepatu Nike Air Jordan 1 High,2461442,2630245,168803,6.9,Normal
14,Jam Tangan Casio G-Shock GA700,1257807,1416095,158288,12.6,Normal
15,Monitor LG UltraWide 34 inch,8204414,9693054,1488640,18.1,Normal
16,Mesin Cuci Samsung Front Load 9kg,5244119,6029408,785289,15.0,Normal
17,Buku The Psychology of Money,94121,112519,18398,19.5,Normal
18,Serum Rambut Pantene 70ml,80955,93082,12127,15.0,Normal
19,Toaster Oven Breville BOV900BSS,5712246,6562338,850092,14.9,Normal
20,Artisan Minuman Teh Kotak 200ml,29796,381511,351715,1180.4,MARKUP GILA-GILAAN ⚠️
21,Limited Tisu Makan Premium 200 lembar,37980,224330,186350,490.7,MARKUP GILA-GILAAN ⚠️
22,Sepatu Running Brooks Ghost 15,1916794,2250631,333837,17.4,Normal
23,Xbox Series X,7891671,9857498,1965827,24.9,Normal
24,Karpet Mobil Universal All New,362792,392337,29545,8.1,Normal
25,Kompor Tanam Rinnai 4 Tungku,3543756,3764974,221218,6.2,Normal
26,VIP Air Mineral Premium 500ml,37074,510400,473326,1276.7,MARKUP GILA-GILAAN ⚠️
27,Jam Tangan Casio G-Shock GA700,1214688,1309029,94341,7.8,Normal
28,Sepatu Formal Clarks Desert Boot,1784672,2088190,303518,17.0,Normal
29,Ultra Masker medis 3 ply 50pcs,23109,304951,281842,1219.6,MARKUP GILA-GILAAN ⚠️
30,Artisan Obat Paracetamol 500mg strip,44468,470196,425728,957.4,MARKUP GILA-GILAAN ⚠️
31,Special Minuman Teh Kotak 200ml,24303,107242,82939,341.3,MARKUP GILA-GILAAN ⚠️
32,Canon EOS R6 Mark II,38467082,43680410,5213328,13.6,Normal
33,Ultra Garam Himalaya 500g,19917,214446,194529,976.7,MARKUP GILA-GILAAN ⚠️
34,Robot Vacuum Cleaner Roomba j7+,8705585,10504800,1799215,20.7,Normal
35,Serum Rambut Pantene 70ml,88331,105088,16757,19.0,Normal
36,VIP Cokelat KitKat 4 finger,25407,174800,149393,588.0,MARKUP GILA-GILAAN ⚠️
37,Buku Zero to One Peter Thiel,86313,102733,16420,19.0,Normal
38,DJI Mini 4 Pro Drone,10539645,12099118,1559473,14.8,Normal
39,Lipstik Charlotte Tilbury Pillowtalk,458374,547510,89136,19.4,Normal
40,VIP Keripik Kentang Lays Original 75g,67305,358491,291186,432.6,MARKUP GILA-GILAAN ⚠️
41,Sepatu Adidas Ultraboost 23,2094744,2375657,280913,13.4,Normal
42,Dashcam Viofo A129 Pro Duo,2252320,2541801,289481,12.9,Normal
43,Dashcam Viofo A129 Pro Duo,2202862,2576729,373867,17.0,Normal
44,Dell XPS 15 9530,25100411,29764274,4663863,18.6,Normal
45,Mascara Maybelline Volum Express,152389,177158,24769,16.3,Normal
46,Buku Zero to One Peter Thiel,91845,106053,14208,15.5,Normal
47,Air Fryer Philips 7L HD9270,1479360,1563747,84387,5.7,Normal
48,Router WiFi 6 ASUS AX6000,3427903,4214337,786434,22.9,Normal
49,Kaos Uniqlo UT Collab,247807,279572,31765,12.8,Normal
50,Barbel Set 20kg Body Gym,837848,889405,51557,6.2,Normal
51,Realme GT5 Pro,8012708,8524882,512174,6.4,Normal
52,Xbox Series X,7870174,9353459,1483285,18.8,Normal
53,Buku Masak Gordon Ramsay Ultimate Cookery,456817,549776,92959,20.3,Normal
54,Jaket North Face Nuptse,4330720,5406371,1075651,24.8,Normal
55,Buku Atomic Habits James Clear,100505,106139,5634,5.6,Normal
56,Krim Malam La Mer Moisturizing 60ml,4704161,5160822,456661,9.7,Normal
57,Eyeshadow Palette Urban Decay Naked,852920,1019796,166876,19.6,Normal
58,Ultra Kapas Kecantikan biasa 100pcs,24100,340180,316080,1311.5,MARKUP GILA-GILAAN ⚠️
59,Parfum Mobil Areon Mon Black Crystal,121300,144976,23676,19.5,Normal
60,Dashcam Viofo A129 Pro Duo,2298133,2543299,245166,10.7,Normal
61,Dell XPS 15 9530,25263529,27436622,2173093,8.6,Normal
62,Water Purifier Coway AP-1512HH,3265519,3587025,321506,9.8,Normal
63,Jaket North Face Nuptse,4314580,5353951,1039371,24.1,Normal
64,OPPO Find X7 Ultra,14934485,18125139,3190654,21.4,Normal
65,Tas Louis Vuitton Neverfull MM,34815695,40287528,5471833,15.7,Normal
66,Mesin Cuci Samsung Front Load 9kg,5305231,5845995,540764,10.2,Normal
67,Eyeshadow Palette Urban Decay Naked,857115,974670,117555,13.7,Normal
68,Ikat Pinggang Hermes,11757167,14391516,2634349,22.4,Normal
69,Raket Badminton Yonex Astrox 99,3306099,3507757,201658,6.1,Normal
70,MacBook Pro M3 14 inch,30639983,33500142,2860159,9.3,Normal
71,Topi Snapback New Era,516039,550731,34692,6.7,Normal
72,Caviar Beluga 30g,2792328,3045062,252734,9.1,Normal
73,DJI Mini 4 Pro Drone,10641163,13124829,2483666,23.3,Normal
74,Exclusive Cotton Bud biasa 200pcs,16908,136323,119415,706.3,MARKUP GILA-GILAAN ⚠️
75,Celana Jeans Levi's 501,895091,1112314,217223,24.3,Normal
76,Granola Organic Uncle Tobys 500g,96077,116918,20841,21.7,Normal
77,Suplemen Vitamin C 1000mg 100 Tab,124086,143326,19240,15.5,Normal
78,Organic Pulpen Pilot G2 0.5mm,20764,183386,162622,783.2,MARKUP GILA-GILAAN ⚠️
79,Lipstik Charlotte Tilbury Pillowtalk,450242,530333,80091,17.8,Normal
80,Robot Vacuum Cleaner Roomba j7+,8181742,9671170,1489428,18.2,Normal
81,Kompor Tanam Rinnai 4 Tungku,3331758,3533187,201429,6.0,Normal
82,Monitor LG UltraWide 34 inch,8329772,10063906,1734134,20.8,Normal
83,Toner Some By Mi AHA BHA PHA,173104,197092,23988,13.9,Normal
84,Madu Manuka UMF 20+ 500g,825443,928248,102805,12.5,Normal
85,Organic Cokelat KitKat 4 finger,46797,451544,404747,864.9,MARKUP GILA-GILAAN ⚠️
86,Wagyu A5 Beef 300g,752976,933280,180304,23.9,Normal
87,Jam Tangan Rolex Submariner,150907246,180536210,29628964,19.6,Normal
88,Keyboard Mechanical Keychron Q1,2144877,2643989,499112,23.3,Normal
89,Protein Whey Optimum Nutrition 5lb,785142,862289,77147,9.8,Normal
90,Gloves Boxing Everlast Pro Style,483319,554479,71160,14.7,Normal
91,Premium Buku Tulis A5 biasa,45282,335362,290080,640.6,MARKUP GILA-GILAAN ⚠️
92,Micellar Water Bioderma 500ml,229314,272379,43065,18.8,Normal
93,Oli Mesin Castrol Edge 5W-40 4L,278522,344399,65877,23.7,Normal
94,Cokelat Valrhona 70% 1kg,466053,511429,45376,9.7,Normal
95,Earphone TWS Sony WF-1000XM5,3336218,3732442,396224,11.9,Normal
96,Serum Vitamin C Skinceuticals CE Ferulic,2091197,2503517,412320,19.7,Normal
97,Buku Matematika Kumon Grade 7,62376,72279,9903,15.9,Normal
98,Limited Obat Paracetamol 500mg strip,74783,506189,431406,576.9,MARKUP GILA-GILAAN ⚠️
99,Ultra Lem Kertas UHU 21g,43277,294476,251199,580.4,MARKUP GILA-GILAAN ⚠️
100,Water Purifier Coway AP-1512HH,3260318,3424174,163856,5.0,Normal
101,Pelumas Rem Ate Brake Fluid DOT4,84605,92584,7979,9.4,Normal
102,Mesin Cuci Samsung Front Load 9kg,5355653,5745740,390087,7.3,Normal
103,Ikat Pinggang Hermes,11671486,12678118,1006632,8.6,Normal
104,Premium Tisu Makan Premium 200 lembar,50811,435700,384889,757.5,MARKUP GILA-GILAAN ⚠️
105,Madu Manuka UMF 20+ 500g,854139,1016416,162277,19.0,Normal
106,Router WiFi 6 ASUS AX6000,3568096,4443801,875705,24.5,Normal
107,Ultra Kapas Kecantikan biasa 100pcs,50419,553831,503412,998.5,MARKUP GILA-GILAAN ⚠️
108,Air Fryer Philips 7L HD9270,1493532,1700819,207287,13.9,Normal
109,Parfum Mobil Areon Mon Black Crystal,117708,139669,21961,18.7,Normal
110,Router WiFi 6 ASUS AX6000,3375584,3786607,411023,12.2,Normal
111,Realme GT5 Pro,7604224,9007190,1402966,18.4,Normal
112,Mixer KitchenAid Artisan 4.8L,9126786,10341082,1214296,13.3,Normal
113,Keyboard Mechanical Keychron Q1,2273364,2784259,510895,22.5,Normal
114,Monitor LG UltraWide 34 inch,8264042,10024891,1760849,21.3,Normal
115,Buku Sapiens Yuval Noah Harari,120347,140295,19948,16.6,Normal
116,Champagne Moet & Chandon 750ml,911913,1128798,216885,23.8,Normal
117,Minyak Zaitun Extra Virgin 1L,148265,175640,27375,18.5,Normal
118,Gold Edition Obat Paracetamol 500mg strip,36517,149513,112996,309.4,MARKUP GILA-GILAAN ⚠️
119,Buku Rich Dad Poor Dad Robert Kiyosaki,93950,108872,14922,15.9,Normal
120,Artisan Kapas Kecantikan biasa 100pcs,72210,764946,692736,959.3,MARKUP GILA-GILAAN ⚠️
121,Car Audio Pioneer MVH-S215BT,837202,937199,99997,11.9,Normal
122,Organic Air Mineral Premium 500ml,42305,520929,478624,1131.4,MARKUP GILA-GILAAN ⚠️
123,Processor Intel Core i9-14900K,9498967,10552217,1053250,11.1,Normal
124,Robot Vacuum Cleaner Roomba j7+,8647901,9818276,1170375,13.5,Normal
125,Masker Rambut Olaplex No.8 100ml,371875,430403,58528,15.7,Normal
126,Keyboard Mechanical Keychron Q1,2143803,2645595,501792,23.4,Normal
127,Buku Masak Gordon Ramsay Ultimate Cookery,454124,546470,92346,20.3,Normal
128,VIP Tisu Makan Premium 200 lembar,12132,66767,54635,450.3,MARKUP GILA-GILAAN ⚠️
129,Minyak Zaitun Extra Virgin 1L,155205,166712,11507,7.4,Normal
130,Serum Rambut Pantene 70ml,88348,107799,19451,22.0,Normal
131,Nintendo Switch OLED,4335072,5086269,751197,17.3,Normal
132,Dompet Coach Crossgrain Leather,2306626,2784000,477374,20.7,Normal
133,Exclusive Selotip bening 1 roll,62830,623398,560568,892.2,MARKUP GILA-GILAAN ⚠️
134,Car Audio Pioneer MVH-S215BT,867299,1082085,214786,24.8,Normal
135,Exclusive Minuman Teh Kotak 200ml,66765,404598,337833,506.0,MARKUP GILA-GILAAN ⚠️
136,Luxury Sabun Cuci Piring biasa 800ml,40370,521433,481063,1191.6,MARKUP GILA-GILAAN ⚠️
137,Micellar Water Bioderma 500ml,222920,278256,55336,24.8,Normal
138,Laptop Lenovo ThinkPad X1 Carbon,28507887,35417489,6909602,24.2,Normal
139,Buku Rich Dad Poor Dad Robert Kiyosaki,99369,107280,7911,8.0,Normal
140,Gloves Boxing Everlast Pro Style,497831,563317,65486,13.2,Normal
141,Vacuum Cleaner Dyson V15 Detect,9273442,10486807,1213365,13.1,Normal
142,Jam Tangan Rolex Submariner,142664773,170534691,27869918,19.5,Normal
143,Serum Rambut Pantene 70ml,88817,93839,5022,5.7,Normal
144,Parfum Mobil Areon Mon Black Crystal,117552,146405,28853,24.5,Normal
145,Limited Beras Putih Premium 1kg,27705,357755,330050,1191.3,MARKUP GILA-GILAAN ⚠️
146,Limited Kantong Plastik 'Eco' 1 pack,56108,694724,638616,1138.2,MARKUP GILA-GILAAN ⚠️
147,Ultra Cokelat KitKat 4 finger,17363,127294,109931,633.1,MARKUP GILA-GILAAN ⚠️
148,Laptop ASUS ROG Zephyrus G14,22035993,25291896,3255903,14.8,Normal
149,Masker Rambut Olaplex No.8 100ml,391028,474152,83124,21.3,Normal
150,Organic Sabun Cuci Piring biasa 800ml,48736,439113,390377,801.0,MARKUP GILA-GILAAN ⚠️
151,Caviar Beluga 30g,2840134,3446162,606028,21.3,Normal
152,Ultra Kantong Plastik 'Eco' 1 pack,15416,173799,158383,1027.4,MARKUP GILA-GILAAN ⚠️
153,Realme GT5 Pro,8133223,9688775,1555552,19.1,Normal
154,OPPO Find X7 Ultra,14483378,17977285,3493907,24.1,Normal
155,Organic Kapas Kecantikan biasa 100pcs,66444,914307,847863,1276.1,MARKUP GILA-GILAAN ⚠️
156,Tas Louis Vuitton Neverfull MM,35125807,39678595,4552788,13.0,Normal
157,Baju Batik Danar Hadi Premium,812944,955643,142699,17.6,Normal
158,Saus Truffle Urbani 180g,367146,439393,72247,19.7,Normal
159,Jam Tangan Rolex Submariner,151345035,171609524,20264489,13.4,Normal
160,Foundation MAC Studio Fix Fluid,598457,692732,94275,15.8,Normal
161,Apple Watch Series 9,7337865,8119606,781741,10.7,Normal
162,Sirup Monin Premium 700ml,121469,151019,29550,24.3,Normal
163,VIP Keripik Kentang Lays Original 75g,5977,39351,33374,558.4,MARKUP GILA-GILAAN ⚠️
164,GoPro Hero 12 Black,5945522,6748873,803351,13.5,Normal
165,Nintendo Switch OLED,4559306,4873615,314309,6.9,Normal
166,Monitor LG UltraWide 34 inch,7746810,8498569,751759,9.7,Normal
167,Sepatu Formal Clarks Desert Boot,1772754,1927893,155139,8.8,Normal
168,Premium Minuman Teh Kotak 200ml,48174,495232,447058,928.0,MARKUP GILA-GILAAN ⚠️
169,Jaket North Face Nuptse,4510587,5032434,521847,11.6,Normal
170,Air Fryer Philips 7L HD9270,1429360,1588681,159321,11.1,Normal
171,Alarm Mobil Clifford 350X,1723446,1970289,246843,14.3,Normal
172,Topi Snapback New Era,496279,583229,86950,17.5,Normal
173,Blender Vitamix 5200,5823902,7236840,1412938,24.3,Normal
174,Organic Hand Sanitizer 100ml,39964,410140,370176,926.3,MARKUP GILA-GILAAN ⚠️
175,Limited Beras Putih Premium 1kg,26404,284809,258405,978.7,MARKUP GILA-GILAAN ⚠️
176,Barbel Set 20kg Body Gym,823194,1025608,202414,24.6,Normal
177,Buku The Psychology of Money,94035,101285,7250,7.7,Normal
178,Mixer KitchenAid Artisan 4.8L,9373474,10115578,742104,7.9,Normal
179,Mouse Logitech MX Master 3,1573136,1927333,354197,22.5,Normal
180,Blender Vitamix 5200,5824099,7205510,1381411,23.7,Normal
181,Truffle Hitam 50g,1220014,1388606,168592,13.8,Normal
